Gene	PoisonExon_hg38
SRSF1	"chr17:58,004,004-58,004,920:-"
SRSF2	chr17:76735772-76735875:-
SRSF3	chr6:36599821-36600276:+
SRSF4	chr1:29159864-29160091:-
SRSF4	chr1:29165890-29166064:-
SRSF4	chr1:29166729-29166912:-
SRSF4	chr1:29168503-29168638:-
SRSF5	chr14:69769511-69770042:+
SRSF6	chr20:43459153-43459420:+
SRSF7	chr2:38748898-38749346:-
SRSF8	"chr11:95,068,186-95,068,652:+"
SRSF9	chr12:120464733-120464822:-
SRSF10	"chr1:23,977,911-23,978,273:-"
SRSF11	chr1:70231859-70231975:+
SRSF11	chr1:70231095-70231203:+
SRSF12	"chr6:89,106,681-89,107,027:-"
TRA2A	"chr7:23,522,132-23,522,432:-"
TRA2B	chr3:185931577-185931852:-
