event	geneName
se@1:107963765:107973372:+|1:107963765:107979287:+	NTNG1
se@1:109235489:109236212:+|1:109235489:109238324:+	PRPF38B
se@1:109238959:109240569:+|1:109238959:109241226:+	PRPF38B
se@1:114338925:114339985:-|1:114320430:114339985:-	RSBN1
se@1:120839865:120839970:+|1:120839865:120841975:+	FAM72B
se@1:1328183:1328776:-|1:1326245:1328776:-	CCNL2
se@1:150298339:150300016:+|1:150298339:150300779:+	PRPF3
se@1:154144580:154145384:-|1:154143964:154145384:-	TPM3
se@1:155146505:155147077:+|1:155146505:155147862:+	TRIM46
se@1:156714362:156714800:-|1:156714140:156714800:-	HDGF
se@1:16693803:16713997:+|1:16693803:16717870:+	SZRD1
se@1:16693803:16717045:+|1:16693803:16717870:+	SZRD1
se@1:16693803:16717870:+|1:16693803:16719726:+	SZRD1
se@1:16693803:16717877:+|1:16693803:16719723:+	SZRD1
se@1:17965184:17966327:+|1:17965184:17966697:+	ARHGEF10L
se@1:18014242:18017615:+|1:18014242:18021653:+	ARHGEF10L
se@1:18014242:18021099:+|1:18014242:18021653:+	ARHGEF10L
se@1:182823313:182824712:+|1:182823313:182825667:+	DHX9
se@1:183441784:183471388:+|1:183441784:183481972:+	SMG7
se@1:183495902:183496761:+|1:183495902:183497091:+	SMG7
se@1:185275757:185276146:-|1:185274775:185276146:-	IVNS1ABP
se@1:210126101:210126400:+|1:210126101:210186978:+	SYT14
se@1:210126101:210126464:+|1:210126101:210186978:+	SYT14
se@1:211477482:211485697:+|1:211477482:211486062:+	RCOR3
se@1:227407121:227441765:-|1:227400920:227441765:-	CDC42BPA
se@1:235340218:235341115:-|1:235338714:235341115:-	ARID4B
se@1:247015340:247016393:-|1:247014744:247016393:-	AHCTF1
se@1:247028635:247030546:-|1:247027418:247030546:-	AHCTF1
se@1:24973280:24973570:+|1:24973280:24975350:+	SRRM1
se@1:24973699:24974515:+|1:24973699:24975350:+	SRRM1
se@1:24979523:24980797:+|1:24979523:24981346:+	SRRM1
se@1:25570989:25571641:-|1:25570124:25571641:-	C1orf63
se@1:28324862:28326471:-|1:28323889:28326471:-	EYA3
se@1:28887244:28887625:+|1:28887244:28887858:+	TRNAU1AP
se@1:29486570:29486887:-|1:29485998:29486887:-	SRSF4
se@1:29486603:29486887:-|1:29485998:29486887:-	SRSF4
se@1:31478878:31479841:-|1:31454252:31479841:-	PUM1
se@1:31479946:31501643:-|1:31454252:31501643:-	PUM1
se@1:32792678:32793007:+|1:32792678:32793137:+	HDAC1
se@1:37962205:37962308:-|1:37961519:37962308:-	MEAF6
se@1:37962205:37967405:-|1:37961519:37967405:-	MEAF6
se@1:40313328:40313658:-|1:40312969:40313658:-	TRIT1
se@1:40661436:40667600:+|1:40661436:40668084:+	RLF
se@1:52302110:52305898:-|1:52301884:52305898:-	NRD1
se@1:55550094:55551615:-|1:55549561:55551615:-	USP24
se@1:67391925:67394570:+|1:67391925:67405711:+	MIER1
se@1:67391925:67394612:+|1:67391925:67405711:+	MIER1
se@1:6885270:6931817:+|1:6885270:6946300:+	CAMTA1
se@1:6885270:6931817:+|1:6885270:6947714:+	CAMTA1
se@1:70694238:70696778:+|1:70694238:70697542:+	SRSF11
se@1:70694238:70697542:+|1:70694238:70697951:+	SRSF11
se@1:70712590:70712800:+|1:70712590:70715635:+	SRSF11
se@1:71531431:71532459:-|1:71530820:71532459:-	ZRANB2
se@1:78413237:78414840:-|1:78412261:78414840:-	FUBP1
se@1:78434768:78435609:-|1:78433887:78435609:-	FUBP1
se@1:82451039:82452944:+|1:82451039:82456075:+	LPHN2
se@1:85724744:85725041:-|1:85724405:85725041:-	C1orf52
se@10:102743831:102746506:-|10:102743574:102746506:-	MRPL43
se@10:103190209:103221721:+|10:103190209:103239125:+	BTRC
se@10:104857845:104858688:-|10:104857131:104858688:-	NT5C2
se@10:104860721:104860802:-|10:104859776:104860802:-	NT5C2
se@10:104871562:104899163:-|10:104866463:104899163:-	NT5C2
se@10:112060494:112063226:-|10:112058548:112063226:-	SMNDC1
se@10:11207645:11259388:+|10:11207645:11291116:+	CELF2
se@10:11299835:11308561:+|10:11299835:11312629:+	CELF2
se@10:11356221:11362820:+|10:11356221:11363170:+	CELF2
se@10:114799885:114893836:+|10:114799885:114900943:+	TCF7L2
se@10:114919751:114920378:+|10:114919751:114921338:+	TCF7L2
se@10:121336417:121336592:-|10:121336262:121336592:-	TIAL1
se@10:121340050:121341434:-|10:121339522:121341434:-	TIAL1
se@10:121340358:121341434:-|10:121339522:121341434:-	TIAL1
se@10:121353025:121355946:-|10:121347760:121355946:-	TIAL1
se@10:123276977:123278196:-|10:123274833:123278196:-	FGFR2
se@10:123278343:123279493:-|10:123276977:123279493:-	FGFR2
se@10:24879408:24880154:-|10:24878231:24880154:-	ARHGAP21
se@10:25003307:25010766:-|10:24959326:25010766:-	ARHGAP21
se@10:32562966:32573626:-|10:32562209:32573626:-	EPC1
se@10:50683542:50684261:-|10:50682288:50684261:-	ERCC6
se@10:50696425:50701163:-|10:50691562:50701163:-	ERCC6
se@10:65359043:65359430:+|10:65359043:65369947:+	REEP3
se@10:69651312:69665920:+|10:69651312:69666547:+	SIRT1
se@10:69747901:69748420:-|10:69726559:69748420:-	HERC4
se@10:70097090:70098260:+|10:70097090:70098897:+	HNRNPH3
se@10:70515293:70516283:+|10:70515293:70517051:+	CCAR1
se@10:74452059:74474869:+|10:74452059:74475612:+	MCU
se@10:74803715:74804739:-|10:74790128:74804739:-	P4HA1
se@10:74804809:74806683:-|10:74803715:74806683:-	P4HA1
se@10:75579375:75581440:-|10:75577312:75581440:-	CAMK2G
se@10:93245060:93247477:+|10:93245060:93250957:+	HECTD2
se@10:94238546:94239034:-|10:94235751:94239034:-	IDE
se@10:94239178:94243012:-|10:94238546:94243012:-	IDE
se@11:105804695:105816190:+|11:105804695:105836674:+	GRIA4
se@11:105804695:105836674:+|11:105804695:105842641:+	GRIA4
se@11:105836788:105842641:+|11:105836788:105845037:+	GRIA4
se@11:113699642:113699919:-|11:113698082:113699919:-	USP28
se@11:113706049:113711320:-|11:113705057:113711320:-	USP28
se@11:113745522:113746167:-|11:113725057:113746167:-	USP28
se@11:118503013:118505640:+|11:118503013:118506111:+	PHLDB1
se@11:118516543:118518491:+|11:118516543:118518646:+	PHLDB1
se@11:124649035:124669767:-|11:124644870:124669767:-	MSANTD2
se@11:30526380:30557541:-|11:30517068:30557541:-	MPPED2
se@11:33784832:33790397:-|11:33780147:33790397:-	FBXO3
se@11:46958402:46969577:+|11:46958402:47008759:+	C11orf49
se@11:47074069:47158867:+|11:47074069:47159196:+	C11orf49
se@11:47753771:47754089:-|11:47753113:47754089:-	FNBP4
se@11:61188599:61188862:-|11:61188045:61188862:-	CPSF7
se@11:61188729:61188862:-|11:61188045:61188862:-	CPSF7
se@11:61292285:61295387:-|11:61292004:61295387:-	SYT7
se@11:61313727:61314007:-|11:61310051:61314007:-	SYT7
se@11:61314131:61314649:-|11:61310051:61314649:-	SYT7
se@11:6499882:6499968:-|11:6499428:6499968:-	ARFIP2
se@11:66433964:66436086:-|11:66433049:66436086:-	RBM4B
se@11:76075476:76076896:-|11:76072107:76076896:-	PRKRIR
se@11:85372793:85373433:-|11:85371641:85373433:-	CREBZF
se@11:85428573:85429833:-|11:85427471:85429833:-	SYTL2
se@11:9494316:9495324:+|11:9494316:9495488:+	ZNF143
se@11:95512299:95512771:-|11:95512118:95512771:-	FAM76B
se@12:103662740:103663585:-|12:103661664:103663585:-	C12orf42
se@12:103664086:103670928:-|12:103663631:103670928:-	C12orf42
se@12:103667661:103670928:-|12:103663631:103670928:-	C12orf42
se@12:103761884:103762665:-|12:103700123:103762665:-	C12orf42
se@12:103871842:103872127:-|12:103795453:103872127:-	C12orf42
se@12:104490211:104491389:+|12:104490211:104492121:+	HCFC2
se@12:122999275:122999652:-|12:122995735:122999652:-	RSRC2
se@12:123005128:123005932:-|12:123003576:123005932:-	RSRC2
se@12:123010840:123011395:-|12:123007453:123011395:-	RSRC2
se@12:19444631:19467699:+|12:19444631:19473496:+	PLEKHA5
se@12:42604421:42631401:-|12:42593037:42631401:-	YAF2
se@12:42629557:42631401:-|12:42604421:42631401:-	YAF2
se@12:48483076:48490126:-|12:48482743:48490126:-	SENP1
se@12:52168146:52173986:+|12:52168146:52180326:+	SCN8A
se@12:57682823:57689182:-|12:57677839:57689182:-	R3HDM2
se@12:57686432:57689182:-|12:57677839:57689182:-	R3HDM2
se@12:57686450:57689182:-|12:57677839:57689182:-	R3HDM2
se@12:57923108:57923394:+|12:57923108:57923717:+	MBD6
se@12:62749256:62768171:+|12:62749256:62775271:+	USP15
se@12:70672054:70687851:+|12:70672054:70695485:+	CNOT2
se@12:70672054:70688017:+|12:70672054:70704675:+	CNOT2
se@12:70704797:70723203:+|12:70704797:70726547:+	CNOT2
se@12:70731293:70731536:+|12:70731293:70732223:+	CNOT2
se@12:77209799:77214838:+|12:77209799:77216186:+	ZDHHC17
se@12:81241954:81242030:-|12:81239718:81242030:-	LIN7A
se@12:98931350:98938220:+|12:98931350:98938729:+	TMPO
se@13:107209964:107211780:-|13:107209479:107211780:-	ARGLU1
se@13:111546740:111558380:-|13:111545610:111558380:-	ANKRD10
se@13:111553008:111558380:-|13:111545610:111558380:-	ANKRD10
se@13:111553041:111558380:-|13:111545610:111558380:-	ANKRD10
se@13:111553424:111558380:-|13:111545610:111558380:-	ANKRD10
se@13:21956084:21957059:-|13:21955685:21957059:-	ZDHHC20
se@13:28794515:28813716:+|13:28794515:28830429:+	PAN3
se@13:41936295:41936867:+|13:41936295:41941575:+	NAA16
se@13:51995470:52004430:-|13:51969619:52004430:-	INTS6
se@13:96254942:96258257:-|13:96251678:96258257:-	DZIP1
se@13:96283067:96285488:-|13:96282367:96285488:-	DZIP1
se@13:99498245:99498774:-|13:99489863:99498774:-	DOCK9
se@13:99611788:99738477:-|13:99607805:99738477:-	DOCK9
se@14:22952058:22985210:+|14:22952058:23016447:+	TRAV17
se@14:23537880:23538685:-|14:23535217:23538685:-	ACIN1
se@14:23540395:23540636:-|14:23538826:23540636:-	ACIN1
se@14:27018987:27064616:-|14:26949349:27064616:-	NOVA1
se@14:27037671:27064616:-|14:26949349:27064616:-	NOVA1
se@14:35073380:35074802:-|14:35072677:35074802:-	SNX6
se@14:35073474:35074802:-|14:35072677:35074802:-	SNX6
se@14:36774510:36777298:-|14:36770029:36777298:-	MBIP
se@14:36782642:36783718:-|14:36781230:36783718:-	MBIP
se@14:36988817:36989258:-|14:36988575:36989258:-	NKX2-1
se@14:45565431:45565627:+|14:45565431:45565799:+	PRPF39
se@14:45565431:45565799:+|14:45565431:45566090:+	PRPF39
se@14:45578983:45579097:+|14:45578983:45579297:+	PRPF39
se@14:56128330:56130673:+|14:56128330:56133959:+	KTN1
se@14:56139730:56139890:+|14:56139730:56142553:+	KTN1
se@14:56146403:56147383:+|14:56146403:56150817:+	KTN1
se@14:56146403:56147404:+|14:56146403:56150817:+	KTN1
se@14:65544146:65544631:-|14:65543381:65544631:-	MAX
se@14:68301913:68331505:+|14:68301913:68331720:+	RAD51B
se@14:68934967:69030267:+|14:68934967:69149654:+	RAD51B
se@14:70235968:70236228:+|14:70235968:70237184:+	SRSF5
se@14:73554869:73555078:+|14:73554869:73563623:+	RBM25
se@14:74388909:74389196:+|14:74388909:74390098:+	ZNF410
se@14:75138723:75139534:-|14:75138186:75139534:-	KIAA0317
se@14:75587710:75587822:-|14:75587283:75587822:-	NEK9
se@14:79111764:79115611:+|14:79111764:79117508:+	NRXN3
se@14:79270166:79276661:+|14:79270166:79423585:+	NRXN3
se@14:80130292:80158516:+|14:80130292:80163973:+	NRXN3
se@14:91932760:91937181:-|14:91931763:91937181:-	SMEK1
se@14:94674903:94693623:+|14:94674903:94696924:+	PPP4R4
se@15:25652284:25653767:-|15:25650649:25653767:-	UBE3A
se@15:25652409:25654235:-|15:25650649:25654235:-	UBE3A
se@15:36872162:36937424:+|15:36872162:36946299:+	C15orf41
se@15:42807552:42813812:+|15:42807552:42820460:+	SNAP23
se@15:43739108:43739564:-|15:43738788:43739564:-	TP53BP1
se@15:43739112:43739564:-|15:43738788:43739564:-	TP53BP1
se@15:44792011:44794160:+|15:44792011:44806796:+	CTDSPL2
se@15:44807042:44810852:+|15:44807042:44811367:+	CTDSPL2
se@15:56947040:56950622:-|15:56946701:56950622:-	ZNF280D
se@15:56960439:56961021:-|15:56959184:56961021:-	ZNF280D
